close_time,target
2021-01-02 15:59:59.999,1
2021-01-02 23:59:59.999,-1
2021-01-03 08:29:59.999,1
2021-01-04 11:14:59.999,-1
2021-01-06 07:44:59.999,1
2021-01-06 23:44:59.999,1
2021-01-07 22:14:59.999,-1
2021-01-08 13:14:59.999,1
2021-01-10 15:14:59.999,-1
2021-01-11 00:29:59.999,1
2021-01-11 11:14:59.999,1
2021-01-22 21:59:59.999,1
2021-01-23 09:29:59.999,1
2021-01-25 07:29:59.999,1
2021-01-25 15:59:59.999,1
2021-01-27 18:59:59.999,1
2021-01-27 22:59:59.999,1
2021-01-29 12:29:59.999,1
2021-02-01 04:59:59.999,1
2021-02-02 12:44:59.999,1
2021-02-04 11:59:59.999,-1
2021-02-06 03:44:59.999,1
2021-02-08 16:29:59.999,1
2021-02-09 00:29:59.999,1
2021-02-10 15:59:59.999,-1
2021-02-11 16:59:59.999,1
2021-02-14 08:29:59.999,1
2021-02-15 04:44:59.999,-1
2021-02-16 05:14:59.999,1
2021-02-16 15:59:59.999,1
2021-02-17 08:44:59.999,1
2021-02-19 08:44:59.999,1
2021-02-19 17:14:59.999,1
2021-02-20 15:44:59.999,1
2021-02-21 01:44:59.999,-1
2021-02-21 13:44:59.999,1
2021-02-21 22:29:59.999,1
2021-02-22 17:44:59.999,-1
2021-02-23 11:44:59.999,-1
2021-02-23 23:59:59.999,1
2021-02-24 04:29:59.999,1
2021-02-25 02:14:59.999,1
2021-02-25 13:44:59.999,1
2021-02-27 02:14:59.999,1
2021-02-28 01:29:59.999,-1
2021-02-28 23:29:59.999,1
2021-03-01 11:44:59.999,1
2021-03-02 18:29:59.999,-1
2021-03-03 09:44:59.999,1
2021-03-03 16:59:59.999,-1
2021-03-04 04:14:59.999,1
2021-03-04 11:59:59.999,1
2021-03-05 03:59:59.999,-1
2021-03-07 11:44:59.999,1
2021-03-08 00:29:59.999,1
2021-03-09 04:59:59.999,1
2021-03-09 16:59:59.999,1
2021-03-10 05:29:59.999,-1
2021-03-12 17:29:59.999,1
2021-03-13 13:44:59.999,1
2021-03-13 23:14:59.999,1
2021-03-15 08:29:59.999,-1
2021-03-15 12:44:59.999,-1
2021-03-16 03:29:59.999,-1
2021-03-16 10:29:59.999,1
2021-03-17 21:44:59.999,1
2021-03-18 18:59:59.999,1
2021-03-20 16:44:59.999,1
2021-03-20 23:59:59.999,-1
2021-03-21 13:14:59.999,-1
2021-03-21 16:59:59.999,1
2021-03-22 13:44:59.999,1
2021-03-22 22:29:59.999,-1
2021-03-23 08:59:59.999,-1
2021-03-24 10:14:59.999,1
2021-03-24 21:44:59.999,-1
2021-03-25 01:44:59.999,-1
2021-03-25 15:14:59.999,-1
2021-03-26 11:14:59.999,1
2021-03-27 17:44:59.999,1
2021-03-29 09:44:59.999,1
2021-03-30 13:29:59.999,1
2021-03-31 10:14:59.999,1
2021-03-31 23:29:59.999,-1
2021-04-02 04:59:59.999,1
2021-04-03 11:59:59.999,-1
2021-04-05 12:29:59.999,1
2021-04-05 17:44:59.999,1
2021-04-06 03:44:59.999,1
2021-04-07 08:29:59.999,1
2021-04-08 15:59:59.999,1
2021-04-09 13:59:59.999,1
2021-04-10 06:29:59.999,1
2021-04-11 00:14:59.999,-1
2021-04-12 07:14:59.999,1
2021-04-13 11:14:59.999,1
2021-04-14 07:14:59.999,1
2021-04-14 17:14:59.999,-1
2021-04-14 21:29:59.999,-1
2021-04-18 06:59:59.999,-1
2021-04-19 17:44:59.999,-1
2021-04-20 03:14:59.999,-1
2021-04-21 15:59:59.999,1
2021-04-22 20:29:59.999,-1
2021-04-23 04:29:59.999,-1
2021-04-23 13:59:59.999,1
2021-04-26 00:29:59.999,-1
2021-04-26 03:14:59.999,1
2021-04-26 13:29:59.999,1
2021-04-26 20:29:59.999,1
2021-04-27 08:59:59.999,1
